epoch,loss,val_loss,val_nse
0,0.009666758047689388,0.005020177108235657,0.4283014
1,0.007621224298959644,0.005032682140796062,0.41971743
2,0.007186199540681228,0.005274053927517825,0.3862716
3,0.006784741882882195,0.003809517339344465,0.58050925
4,0.006515070963537366,0.0030464964151820715,0.6915823
5,0.00643769938175044,0.005057813400472857,0.4078024
6,0.006110182461306089,0.003181000286156846,0.66063493
7,0.00612188758635212,0.0045386004967440385,0.48899388
8,0.005920880143076363,0.003671783546451479,0.6036544
9,0.006055998068484591,0.003314356606150635,0.642565
10,0.005964146384390116,0.002914912497919217,0.73995864
11,0.006171957990608928,0.003073763366581475,0.6829934
12,0.005749807812318933,0.0033570306888363764,0.65999424
13,0.005658616654847453,0.003172909552043112,0.6606643
14,0.0056830866886984285,0.0031698365027670447,0.65780675
15,0.005474781022952279,0.003929395741525856,0.5530577
16,0.005513262566428904,0.00298437546553032,0.6853334
17,0.00535546213944965,0.0027942492805082377,0.7558631
18,0.005670594780637724,0.004198967926426763,0.5225196
19,0.005304219760568585,0.003611778367913383,0.5999198
20,0.005507925808679585,0.0028298962623760898,0.7272273
21,0.0054484917398928325,0.002729574627878987,0.7225279
22,0.005084656757336655,0.0032395344629442074,0.65067035
23,0.00544081548365151,0.002828763472601114,0.70460343
24,0.005008715200351506,0.0031245871762032897,0.6658343
25,0.0051899425679726935,0.0031501634305587845,0.65968764
26,0.005097328553475985,0.002668985564121292,0.73435557
27,0.0052009858270516485,0.0029467096413581576,0.69078016
28,0.005070790539995381,0.0023860224372423116,0.78123975
29,0.004913653926810295,0.003022287455464453,0.67413425
30,0.005053814513631528,0.002878055444050594,0.69803226
31,0.004790322474635593,0.002566675981035908,0.7511502
32,0.004986438992228813,0.002873745419064482,0.70690966
33,0.0050237934888772125,0.00260554462661008,0.7374346
34,0.005180335664417504,0.0028330729722202863,0.710171
35,0.00468030232459125,0.002639135429276126,0.7280241
36,0.004787415892976086,0.0027913462844855316,0.72155535
37,0.004917429770036351,0.002886474618957008,0.7208175
38,0.004927380524416704,0.002866376493971877,0.7054409
39,0.00460586037753695,0.0027594224013549086,0.72248054
40,0.004421145279562419,0.0027286500137372917,0.7160815
41,0.004387328825697939,0.002690039462108603,0.72275174
42,0.004307159560834762,0.0026662588112658877,0.73823017
43,0.004024042723495967,0.002664377237070927,0.7354297
44,0.004399815506994633,0.0030652477518528674,0.67795897
45,0.004159501113179254,0.0032899385180237863,0.645571
46,0.004094374778101266,0.003294083757335851,0.64224
47,0.004232673494077128,0.003081391158797059,0.6761836
48,0.004458030031869052,0.0032062127737149506,0.6536288
